id,date,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
Washington,2020-01-21,1,0.14,0.0,0,0.0,0.0
Washington,2020-01-22,0,0.14,0.0,0,0.0,0.0
Washington,2020-01-23,0,0.14,0.0,0,0.0,0.0
Washington,2020-01-24,0,0.14,0.0,0,0.0,0.0
Illinois,2020-01-24,1,0.14,0.0,0,0.0,0.0
Washington,2020-01-25,0,0.14,0.0,0,0.0,0.0
Illinois,2020-01-25,0,0.14,0.0,0,0.0,0.0
California,2020-01-25,1,0.14,0.0,0,0.0,0.0
Washington,2020-01-26,0,0.14,0.0,0,0.0,0.0
Illinois,2020-01-26,0,0.14,0.0,0,0.0,0.0
California,2020-01-26,1,0.29,0.0,0,0.0,0.0
Arizona,2020-01-26,1,0.14,0.0,0,0.0,0.0
Washington,2020-01-27,0,0.14,0.0,0,0.0,0.0
Illinois,2020-01-27,0,0.14,0.0,0,0.0,0.0
California,2020-01-27,0,0.29,0.0,0,0.0,0.0
Arizona,2020-01-27,0,0.14,0.0,0,0.0,0.0
Washington,2020-01-28,0,0.0,0.0,0,0.0,0.0
Illinois,2020-01-28,0,0.14,0.0,0,0.0,0.0
California,2020-01-28,0,0.29,0.0,0,0.0,0.0
Arizona,2020-01-28,0,0.14,0.0,0,0.0,0.0
Washington,2020-01-29,0,0.0,0.0,0,0.0,0.0
Illinois,2020-01-29,0,0.14,0.0,0,0.0,0.0
California,2020-01-29,0,0.29,0.0,0,0.0,0.0
Arizona,2020-01-29,0,0.14,0.0,0,0.0,0.0
Washington,2020-01-30,0,0.0,0.0,0,0.0,0.0
Illinois,2020-01-30,1,0.29,0.0,0,0.0,0.0
California,2020-01-30,0,0.29,0.0,0,0.0,0.0
Arizona,2020-01-30,0,0.14,0.0,0,0.0,0.0
Washington,2020-01-31,0,0.0,0.0,0,0.0,0.0
Illinois,2020-01-31,0,0.14,0.0,0,0.0,0.0
California,2020-01-31,1,0.43,0.0,0,0.0,0.0
Arizona,2020-01-31,0,0.14,0.0,0,0.0,0.0
Washington,2020-02-01,0,0.0,0.0,0,0.0,0.0
Massachusetts,2020-02-01,1,0.14,0.0,0,0.0,0.0
Illinois,2020-02-01,0,0.14,0.0,0,0.0,0.0
California,2020-02-01,0,0.29,0.0,0,0.0,0.0
Arizona,2020-02-01,0,0.14,0.0,0,0.0,0.0
Washington,2020-02-02,0,0.0,0.0,0,0.0,0.0
Massachusetts,2020-02-02,0,0.14,0.0,0,0.0,0.0
Illinois,2020-02-02,0,0.14,0.0,0,0.0,0.0
California,2020-02-02,3,0.57,0.0,0,0.0,0.0
Arizona,2020-02-02,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-03,0,0.0,0.0,0,0.0,0.0
Massachusetts,2020-02-03,0,0.14,0.0,0,0.0,0.0
Illinois,2020-02-03,0,0.14,0.0,0,0.0,0.0
California,2020-02-03,0,0.57,0.0,0,0.0,0.0
Arizona,2020-02-03,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-04,0,0.0,0.0,0,0.0,0.0
Massachusetts,2020-02-04,0,0.14,0.0,0,0.0,0.0
Illinois,2020-02-04,0,0.14,0.0,0,0.0,0.0
California,2020-02-04,0,0.57,0.0,0,0.0,0.0
Arizona,2020-02-04,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-05,1,0.14,0.0,0,0.0,0.0
Washington,2020-02-05,0,0.0,0.0,0,0.0,0.0
Massachusetts,2020-02-05,0,0.14,0.0,0,0.0,0.0
Illinois,2020-02-05,0,0.14,0.0,0,0.0,0.0
California,2020-02-05,0,0.57,0.0,0,0.0,0.0
Arizona,2020-02-05,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-06,0,0.14,0.0,0,0.0,0.0
Washington,2020-02-06,0,0.0,0.0,0,0.0,0.0
Massachusetts,2020-02-06,0,0.14,0.0,0,0.0,0.0
Illinois,2020-02-06,0,0.0,0.0,0,0.0,0.0
California,2020-02-06,0,0.57,0.0,0,0.0,0.0
Arizona,2020-02-06,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-07,0,0.14,0.0,0,0.0,0.0
Washington,2020-02-07,0,0.0,0.0,0,0.0,0.0
Massachusetts,2020-02-07,0,0.14,0.0,0,0.0,0.0
Illinois,2020-02-07,0,0.0,0.0,0,0.0,0.0
California,2020-02-07,0,0.43,0.0,0,0.0,0.0
Arizona,2020-02-07,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-08,0,0.14,0.0,0,0.0,0.0
Washington,2020-02-08,0,0.0,0.0,0,0.0,0.0
Massachusetts,2020-02-08,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-08,0,0.0,0.0,0,0.0,0.0
California,2020-02-08,0,0.43,0.0,0,0.0,0.0
Arizona,2020-02-08,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-09,0,0.14,0.0,0,0.0,0.0
Washington,2020-02-09,0,0.0,0.0,0,0.0,0.0
Massachusetts,2020-02-09,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-09,0,0.0,0.0,0,0.0,0.0
California,2020-02-09,0,0.0,0.0,0,0.0,0.0
Arizona,2020-02-09,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-10,0,0.14,0.0,0,0.0,0.0
Washington,2020-02-10,0,0.0,0.0,0,0.0,0.0
Massachusetts,2020-02-10,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-10,0,0.0,0.0,0,0.0,0.0
California,2020-02-10,1,0.14,0.0,0,0.0,0.0
Arizona,2020-02-10,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-11,0,0.14,0.0,0,0.0,0.0
Washington,2020-02-11,0,0.0,0.0,0,0.0,0.0
Massachusetts,2020-02-11,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-11,0,0.0,0.0,0,0.0,0.0
California,2020-02-11,0,0.14,0.0,0,0.0,0.0
Arizona,2020-02-11,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-12,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-12,0,0.0,0.0,0,0.0,0.0
Texas,2020-02-12,1,0.14,0.0,0,0.0,0.0
Massachusetts,2020-02-12,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-12,0,0.0,0.0,0,0.0,0.0
California,2020-02-12,0,0.14,0.0,0,0.0,0.0
Arizona,2020-02-12,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-13,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-13,0,0.0,0.0,0,0.0,0.0
Texas,2020-02-13,1,0.29,0.0,0,0.0,0.0
Massachusetts,2020-02-13,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-13,0,0.0,0.0,0,0.0,0.0
California,2020-02-13,0,0.14,0.0,0,0.0,0.0
Arizona,2020-02-13,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-14,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-14,0,0.0,0.0,0,0.0,0.0
Texas,2020-02-14,0,0.29,0.0,0,0.0,0.0
Massachusetts,2020-02-14,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-14,0,0.0,0.0,0,0.0,0.0
California,2020-02-14,0,0.14,0.0,0,0.0,0.0
Arizona,2020-02-14,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-15,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-15,0,0.0,0.0,0,0.0,0.0
Texas,2020-02-15,0,0.29,0.0,0,0.0,0.0
Massachusetts,2020-02-15,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-15,0,0.0,0.0,0,0.0,0.0
California,2020-02-15,0,0.14,0.0,0,0.0,0.0
Arizona,2020-02-15,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-16,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-16,0,0.0,0.0,0,0.0,0.0
Texas,2020-02-16,0,0.29,0.0,0,0.0,0.0
Massachusetts,2020-02-16,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-16,0,0.0,0.0,0,0.0,0.0
California,2020-02-16,0,0.14,0.0,0,0.0,0.0
Arizona,2020-02-16,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-17,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-17,0,0.0,0.0,0,0.0,0.0
Texas,2020-02-17,0,0.29,0.0,0,0.0,0.0
Nebraska,2020-02-17,10,1.43,0.07,0,0.0,0.0
Massachusetts,2020-02-17,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-17,0,0.0,0.0,0,0.0,0.0
California,2020-02-17,0,0.0,0.0,0,0.0,0.0
Arizona,2020-02-17,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-18,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-18,0,0.0,0.0,0,0.0,0.0
Texas,2020-02-18,0,0.29,0.0,0,0.0,0.0
Nebraska,2020-02-18,0,1.43,0.07,0,0.0,0.0
Massachusetts,2020-02-18,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-18,0,0.0,0.0,0,0.0,0.0
California,2020-02-18,0,0.0,0.0,0,0.0,0.0
Arizona,2020-02-18,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-19,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-19,0,0.0,0.0,0,0.0,0.0
Texas,2020-02-19,0,0.14,0.0,0,0.0,0.0
Nebraska,2020-02-19,0,1.43,0.07,0,0.0,0.0
Massachusetts,2020-02-19,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-19,0,0.0,0.0,0,0.0,0.0
California,2020-02-19,0,0.0,0.0,0,0.0,0.0
Arizona,2020-02-19,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-20,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-20,0,0.0,0.0,0,0.0,0.0
Texas,2020-02-20,0,0.0,0.0,0,0.0,0.0
Nebraska,2020-02-20,1,1.57,0.08,0,0.0,0.0
Massachusetts,2020-02-20,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-20,0,0.0,0.0,0,0.0,0.0
California,2020-02-20,1,0.14,0.0,0,0.0,0.0
Arizona,2020-02-20,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-21,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-21,0,0.0,0.0,0,0.0,0.0
Texas,2020-02-21,2,0.29,0.0,0,0.0,0.0
Nebraska,2020-02-21,0,1.57,0.08,0,0.0,0.0
Massachusetts,2020-02-21,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-21,0,0.0,0.0,0,0.0,0.0
California,2020-02-21,1,0.29,0.0,0,0.0,0.0
Arizona,2020-02-21,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-22,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-22,0,0.0,0.0,0,0.0,0.0
Texas,2020-02-22,0,0.29,0.0,0,0.0,0.0
Nebraska,2020-02-22,0,1.57,0.08,0,0.0,0.0
Massachusetts,2020-02-22,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-22,0,0.0,0.0,0,0.0,0.0
California,2020-02-22,0,0.29,0.0,0,0.0,0.0
Arizona,2020-02-22,0,0.0,0.0,0,0.0,0.0
Wisconsin,2020-02-23,0,0.0,0.0,0,0.0,0.0
Washington,2020-02-23,0,0.0,0.0,0,0.0,0.0
Texas,2020-02-23,0,0.29,0.0,0,0.0,0.0
Nebraska,2020-02-23,0,1.57,0.08,0,0.0,0.0
Massachusetts,2020-02-23,0,0.0,0.0,0,0.0,0.0
Illinois,2020-02-23,0,0.0,0.0,0,0.0,0.0
California,2020-02-23,0,0.29,0.0,0,0.0,0.0
